"행정구역별(1)",2022,2021,2020,2019,2018,2017,2016
"전국",2.7,4.5,-0.6,2.4,3.1,3.4,3.1
"서울특별시",2.6,3.9,-0.5,3.2,4.1,2.6,3.5
"부산광역시",1.7,2.6,-3.0,2.2,3.0,-0.6,2.8
"대구광역시",2.2,4.9,-1.1,1.6,1.2,1.8,0.5
"인천광역시",6.8,4.7,-2.7,2.4,2.5,4.3,2.9
"광주광역시",1.0,4.1,1.9,3.0,2.6,3.3,3.2
"대전광역시",1.8,2.3,2.3,5.1,0.8,1.4,4.1
"울산광역시",3.8,6.8,-9.6,-1.3,-1.4,0.1,-2.6
"세종특별자치시",2.2,7.4,2.4,6.9,2.9,6.0,8.3
"경기도",3.2,5.9,2.8,2.7,5.2,6.3,5.0
"강원특별자치도",1.3,5.3,-1.8,3.7,2.1,5.1,4.2
"충청북도",4.2,5.9,-1.7,3.6,6.3,6.7,7.1
"충청남도",2.8,5.7,1.0,1.0,2.6,7.5,3.5
"전북특별자치도",1.3,3.3,-0.2,2.2,1.3,3.2,-0.7
"전라남도",-0.7,4.4,-1.4,2.0,0.6,1.1,1.7
"경상북도",0.6,2.5,-3.0,1.0,0.2,-0.3,0.7
"경상남도",3.5,2.0,-5.6,1.9,1.0,-0.4,1.8
"제주특별자치도",4.6,3.1,-5.6,0.8,0.9,6.9,7.0
