"A 행정구역별",H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2
"A 행정구역별",T1 15세이상인구 (천명),T2 경제활동인구 (천명),T3 취업자 (천명),T4 실업자 (천명),T5 비경제활동인구 (천명),T6 경제활동참가율 (％),T7 고용률 (%),T11 15~64세 고용률 (%),T8 실업률 (％)
"1101 서울 종로구",136,77,73,4,59,56.4,53.5,59.9,5.2
"1102 서울 중구",120,75,72,3,46,62.1,60.0,68.2,3.5
"1103 서울 용산구",191,120,116,4,71,62.9,60.6,69.9,3.7
"1104 서울 성동구",253,150,147,4,103,59.5,57.9,65.3,2.6
"1105 서울 광진구",319,200,194,7,119,62.7,60.6,67.7,3.4
"1106 서울 동대문구",326,185,176,9,141,56.7,54.0,61.1,4.7
"1107 서울 중랑구",345,214,210,5,130,62.2,60.9,70.5,2.1
"1108 서울 성북구",390,225,218,7,166,57.6,55.8,62.6,3.2
"1109 서울 강북구",260,148,141,7,112,56.8,54.2,64.5,4.5
"1110 서울 도봉구",273,166,156,9,107,60.6,57.3,68.3,5.6
"1111 서울 노원구",439,262,250,12,177,59.7,57.0,65.5,4.5
"1112 서울 은평구",410,254,243,11,156,62.0,59.2,68.4,4.4
"1113 서울 서대문구",291,175,169,7,116,60.1,57.9,64.9,3.7
"1114 서울 마포구",330,213,202,11,118,64.3,61.1,67.9,5.1
"1115 서울 양천구",367,228,219,9,139,62.1,59.7,67.7,3.9
"1116 서울 강서구",497,327,314,13,170,65.8,63.1,71.5,4.1
"1117 서울 구로구",372,239,227,12,133,64.2,61.0,69.5,5.0
"1118 서울 금천구",222,144,139,5,78,64.9,62.7,71.5,3.4
"1119 서울 영등포구",358,249,239,9,109,69.5,66.9,75.1,3.7
"1120 서울 동작구",352,223,212,11,129,63.3,60.2,68.8,5.0
"1121 서울 관악구",465,292,279,13,173,62.8,60.0,68.9,4.4
"1122 서울 서초구",338,205,201,5,133,60.8,59.4,67.3,2.3
"1123 서울 강남구",461,279,270,10,181,60.6,58.5,66.1,3.5
"1124 서울 송파구",561,357,345,12,204,63.7,61.5,69.8,3.4
"1125 서울 강동구",397,251,239,12,146,63.2,60.2,69.0,4.7
"2101 부산 중구",38,23,22,1,15,61.5,58.4,67.1,5.0
"2102 부산 서구",94,54,52,3,40,57.7,55.1,65.8,4.5
"2103 부산 동구",80,48,47,2,31,60.8,58.6,69.0,3.6
"2104 부산 영도구",100,50,47,3,50,50.0,47.1,55.6,5.8
"2105 부산 부산진구",326,205,194,11,122,62.7,59.5,67.9,5.2
"2106 부산 동래구",229,135,130,5,94,59.0,56.9,65.4,3.5
"2107 부산 남구",234,128,122,6,105,55.0,52.4,61.6,4.6
"2108 부산 북구",238,141,136,6,97,59.3,56.9,65.8,4.1
"2109 부산 해운대구",324,180,172,8,144,55.5,53.0,62.0,4.5
"2110 부산 사하구",268,159,152,7,109,59.5,56.9,66.0,4.3
"2111 부산 금정구",201,108,104,4,93,53.9,51.8,61.1,3.8
